full_name,county,bell,bell_pct,breckinridge,breckinridge_pct,douglas,douglas_pct,lincoln,lincoln_pct
ACCOMACK,Accomack County,736,0.47,737,0.47,80,0.05,0,0
ALBEMARLE,Albemarle County,1317,0.53,1056,0.43,97,0.04,0,0
ALEXANDRIA,Alexandria County and City,1012,0.63,565,0.35,3,0,14,0.01
ALLEGHANY,Alleghany County,250,0.4,344,0.55,37,0.06,0,0
AMELIA,Amelia County,282,0.5,254,0.45,32,0.06,0,0
AMHERST,Amherst County,622,0.43,808,0.55,26,0.02,0,0
APPOMATTOX,Appomattox County,221,0.28,563,0.71,10,0.01,0,0
AUGUSTA,Augusta County,2553,0.66,218,0.06,1094,0.28,0,0
BARBOUR,Barbour County,422,0.31,910,0.66,39,0.03,3,0.002
BATH,Bath County,220,0.45,163,0.4,22,0.05,0,0
BEDFORD,Bedford County,1468,0.57,1037,0.4,91,0.04,0,0
BERKELEY,Berkeley County,913,0.49,830,0.45,106,0.06,0,0
BOONE,Boone County,121,0.35,204,0.58,24,0.07,0,0
BOTETOURT,Botetourt County,590,0.44,589,0.44,174,0.13,0,0
BRAXTON,Braxton County,274,0.5,227,0.42,46,0.08,0,0
BROOKE,Brooke County,173,0.2,450,0.52,76,0.09,173,0.2
BRUNSWICK,Brunswick County,308,0.33,444,0.46,187,0.2,0,0
BUCHANAN,Buchanan County,14,0.08,134,0.8,19,0.11,0,0
BUCKINGHAM,Buckingham County,545,0.5,523,0.48,22,0.02,0,0
CABELL,Cabell County,316,0.36,161,0.18,407,0.46,4,0.004
CALHOUN,Calhoun County,19,0.06,285,0.93,1,0.003,0,0
CAMPBELL,Campbell County,1521,0.53,1208,0.42,146,0.05,0,0
CAROLINE,Caroline County,561,0.42,772,0.57,18,0.01,0,0
CARROLL,Carroll County,315,0.3,729,0.69,11,0.01,0,0
CHARLES CITY,Charles City County,224,0.65,111,0.32,9,0.03,0,0
CHARLOTTE,Charlotte County,418,0.46,465,0.51,25,0.03,0,0
CHESTERFIELD,Chesterfield County,788,0.46,328,0.19,588,0.34,0,0
CLARKE,Clarke County,288,0.43,335,0.5,49,0.07,0,0
CLAY,Clay County,119,0.76,37,0.24,0,0,0,0
