GISJOIN,YEAR,STATE,STATEA,COUNTY,full_name,COUNTYA,AREANAME,total_population,total_white,free_black,total_slave
G0100010,1850,Alabama,10,Autauga,AUTAUGA,10,Autauga,15023,6274,19,8730
G0100030,1850,Alabama,10,Baldwin,BALDWIN,30,Baldwin,4414,2100,96,2218
G0100050,1850,Alabama,10,Barbour,BARBOUR,50,Barbour,23632,12842,10,10780
G0100055,1850,Alabama,10,Benton,BENTON,55,Benton,17163,13397,3,3763
G0100070,1850,Alabama,10,Bibb,BIBB,70,Bibb,9969,7097,11,2861
G0100090,1850,Alabama,10,Blount,BLOUNT,90,Blount,7367,6941,0,426
G0100130,1850,Alabama,10,Butler,BUTLER,130,Butler,10836,7162,35,3639
G0100170,1850,Alabama,10,Chambers,CHAMBERS,170,Chambers,23960,12784,18,11158
G0100190,1850,Alabama,10,Cherokee,CHEROKEE,190,Cherokee,13884,12170,23,1691
G0100230,1850,Alabama,10,Choctaw,CHOCTAW,230,Choctaw,8389,4620,0,3769
G0100250,1850,Alabama,10,Clarke,CLARKE,250,Clarke,9786,4901,9,4876
G0100310,1850,Alabama,10,Coffee,COFFEE,310,Coffee,5940,5380,3,557
G0100350,1850,Alabama,10,Conecuh,CONECUH,350,Conecuh,9322,4925,3,4394
G0100370,1850,Alabama,10,Coosa,COOSA,370,Coosa,14543,10414,9,4120
G0100390,1850,Alabama,10,Covington,COVINGTON,390,Covington,3645,3077,88,480
G0100450,1850,Alabama,10,Dale,DALE,450,Dale,6382,5622,3,757
G0100470,1850,Alabama,10,Dallas,DALLAS,470,Dallas,29727,7461,8,22258
G0100490,1850,Alabama,10,DeKalb,DEKALB,490,Dekalb,8245,7730,9,506
G0100570,1850,Alabama,10,Fayette,FAYETTE,570,Fayette,9681,8451,9,1221
G0100590,1850,Alabama,10,Franklin,FRANKLIN,590,Franklin,19610,11398,15,8197
G0100630,1850,Alabama,10,Greene,GREENE,630,Greene,31441,9265,49,22127
G0100655,1850,Alabama,10,Hancock,HANCOCK,655,Hancock,1542,1480,0,62
G0100670,1850,Alabama,10,Henry,HENRY,670,Henry,9019,6776,1,2242
G0100710,1850,Alabama,10,Jackson,JACKSON,710,Jackson,14088,11754,42,2292
G0100730,1850,Alabama,10,Jefferson,JEFFERSON,730,Jefferson,8989,6714,8,2267
G0100770,1850,Alabama,10,Lauderdale,LAUDERDALE,770,Lauderdale,17172,11097,60,6015
