GISJOIN,YEAR,STATE,STATEA,COUNTY,full_name,AREANAME,total_white,free_black,total_slave,total_indian,total_halfbreed,total_asian
G0100010,1860,Alabama,10,Autauga,AUTAUGA,Autauga,7105,14,9607,13,,
G0100030,1860,Alabama,10,Baldwin,BALDWIN,Baldwin,3585,140,3714,91,,
G0100050,1860,Alabama,10,Barbour,BARBOUR,Barbour,14629,33,16150,0,,
G0100070,1860,Alabama,10,Bibb,BIBB,Bibb,8027,25,3842,0,,
G0100090,1860,Alabama,10,Blount,BLOUNT,Blount,10193,6,666,0,,
G0100130,1860,Alabama,10,Butler,BUTLER,Butler,11260,44,6818,0,,
G0100150,1860,Alabama,10,Calhoun,CALHOUN,Calhoun,17169,28,4342,0,,
G0100170,1860,Alabama,10,Chambers,CHAMBERS,Chambers,11315,50,11849,0,,
G0100190,1860,Alabama,10,Cherokee,CHEROKEE,Cherokee,15321,37,3002,0,,
G0100230,1860,Alabama,10,Choctaw,CHOCTAW,Choctaw,6767,16,7094,0,,
G0100250,1860,Alabama,10,Clarke,CLARKE,Clarke,7599,14,7436,0,,
G0100310,1860,Alabama,10,Coffee,COFFEE,Coffee,8200,6,1417,0,,
G0100350,1860,Alabama,10,Conecuh,CONECUH,Conecuh,6419,10,4882,0,,
G0100370,1860,Alabama,10,Coosa,COOSA,Coosa,14044,11,5212,6,,
G0100390,1860,Alabama,10,Covington,COVINGTON,Covington,5631,17,821,0,,
G0100450,1860,Alabama,10,Dale,DALE,Dale,10379,7,1809,2,,
G0100470,1860,Alabama,10,Dallas,DALLAS,Dallas,7785,80,25760,0,,
G0100490,1860,Alabama,10,DeKalb,DEKALB,Dekalb,9853,4,848,0,,
G0100570,1860,Alabama,10,Fayette,FAYETTE,Fayette,11145,2,1703,0,,
G0100590,1860,Alabama,10,Franklin,FRANKLIN,Franklin,10119,13,8495,0,,
G0100630,1860,Alabama,10,Greene,GREENE,Greene,7251,10,23598,0,,
G0100670,1860,Alabama,10,Henry,HENRY,Henry,10464,21,4433,0,,
G0100710,1860,Alabama,10,Jackson,JACKSON,Jackson,14811,67,3405,0,,
G0100730,1860,Alabama,10,Jefferson,JEFFERSON,Jefferson,9078,19,2649,0,,
G0100770,1860,Alabama,10,Lauderdale,LAUDERDALE,Lauderdale,10639,44,6737,0,,
G0100790,1860,Alabama,10,Lawrence,LAWRENCE,Lawrence,7173,14,6788,0,,
G0100830,1860,Alabama,10,Limestone,LIMESTONE,Limestone,7215,6,8085,0,,
G0100850,1860,Alabama,10,Lowndes,LOWNDES,Lowndes,8362,14,19340,0,,
G0100870,1860,Alabama,10,Macon,MACON,Macon,8624,1,18176,1,,
G0100890,1860,Alabama,10,Madison,MADISON,Madison,11685,192,14573,1,,
G0100910,1860,Alabama,10,Marengo,MARENGO,Marengo,6761,1,24409,0,,
G0100930,1860,Alabama,10,Marion,MARION,Marion,9893,5,1283,1,,
G0100950,1860,Alabama,10,Marshall,MARSHALL,Marshall,9596,51,1821,4,,
G0100970,1860,Alabama,10,Mobile,MOBILE,Mobile,28559,1195,11376,1,,
G0100990,1860,Alabama,10,Monroe,MONROE,Monroe,6878,46,8705,38,,
G0101010,1860,Alabama,10,Montgomery,MONTGOMERY,Montgomery,12122,70,23710,2,,
G0101030,1860,Alabama,10,Morgan,MORGAN,Morgan,7592,37,3706,0,,
G0101050,1860,Alabama,10,Perry,PERRY,Perry,9479,39,18206,0,,
G0101070,1860,Alabama,10,Pickens,PICKENS,Pickens,10117,8,12191,0,,
G0101090,1860,Alabama,10,Pike,PIKE,Pike,15646,4,8785,0,,
G0101110,1860,Alabama,10,Randolph,RANDOLPH,Randolph,18132,23,1904,0,,
G0101130,1860,Alabama,10,Russell,RUSSELL,Russell,10936,18,15638,0,,
G0101150,1860,Alabama,10,St Clair,ST CLAIR,St Clair,9236,9,1768,0,,
G0101170,1860,Alabama,10,Shelby,SHELBY,Shelby,8970,26,3622,0,,
G0101190,1860,Alabama,10,Sumter,SUMTER,Sumter,5919,25,18091,0,,
G0101210,1860,Alabama,10,Talladega,TALLADEGA,Talladega,14634,21,8865,0,,
G0101230,1860,Alabama,10,Tallapoosa,TALLAPOOSA,Tallapoosa,17154,1,6672,0,,
G0101250,1860,Alabama,10,Tuscaloosa,TUSCALOOSA,Tuscaloosa,12971,84,10145,0,,
G0101270,1860,Alabama,10,Walker,WALKER,Walker,7461,0,519,0,,
G0101290,1860,Alabama,10,Washington,WASHINGTON,Washington,2119,56,2494,0,,
G0101310,1860,Alabama,10,Wilcox,WILCOX,Wilcox,6795,26,17797,0,,
G0101330,1860,Alabama,10,Winston,WINSTON,Winston,3454,0,122,0,,
G0500010,1860,Arkansas,50,Arkansas,ARKANSAS,Arkansas,3923,0,4921,0,,
G0500030,1860,Arkansas,50,Ashley,ASHLEY,Ashley,4829,0,3761,0,,
G0500070,1860,Arkansas,50,Benton,BENTON,Benton,8905,1,384,16,,
G0500110,1860,Arkansas,50,Bradley,BRADLEY,Bradley,5698,0,2690,0,,
G0500130,1860,Arkansas,50,Calhoun,CALHOUN,Calhoun,3122,0,981,0,,
G0500150,1860,Arkansas,50,Carroll,CARROLL,Carroll,9053,0,330,0,,
G0500170,1860,Arkansas,50,Chicot,CHICOT,Chicot,1722,0,7512,0,,
G0500190,1860,Arkansas,50,Clark,CLARK,Clark,7516,5,2214,0,,
G0500270,1860,Arkansas,50,Columbia,COLUMBIA,Columbia,8845,5,3599,0,,
G0500290,1860,Arkansas,50,Conway,CONWAY,Conway,5895,0,802,0,,
G0500310,1860,Arkansas,50,Craighead,CRAIGHEAD,Craighead,2978,1,87,0,,
G0500330,1860,Arkansas,50,Crawford,CRAWFORD,Crawford,6986,6,858,0,,
G0500350,1860,Arkansas,50,Crittenden,CRITTENDEN,Crittenden,2573,0,2347,0,,
G0500390,1860,Arkansas,50,Dallas,DALLAS,Dallas,4788,1,3494,0,,
G0500410,1860,Arkansas,50,Desha,DESHA,Desha,2655,20,3784,0,,
G0500430,1860,Arkansas,50,Drew,DREW,Drew,5581,0,3497,0,,
G0500470,1860,Arkansas,50,Franklin,FRANKLIN,Franklin,6330,6,962,0,,
G0500490,1860,Arkansas,50,Fulton,FULTON,Fulton,3936,0,88,0,,
G0500550,1860,Arkansas,50,Greene,GREENE,Greene,5654,0,189,0,,
G0500570,1860,Arkansas,50,Hempstead,HEMPSTEAD,Hempstead,8589,2,5398,0,,
G0500590,1860,Arkansas,50,Hot Spring,HOT SPRING,Hot Spring,5019,3,613,0,,
G0500630,1860,Arkansas,50,Independence,INDEPENDENCE,Independence,12970,0,1337,0,,
G0500650,1860,Arkansas,50,Izard,IZARD,Izard,6831,0,382,2,,
G0500670,1860,Arkansas,50,Jackson,JACKSON,Jackson,7957,1,2535,0,,
G0500690,1860,Arkansas,50,Jefferson,JEFFERSON,Jefferson,7813,12,7146,0,,
G0500710,1860,Arkansas,50,Johnson,JOHNSON,Johnson,6639,0,973,0,,
G0500730,1860,Arkansas,50,Lafayette,LAFAYETTE,Lafayette,4146,7,4311,0,,
G0500750,1860,Arkansas,50,Lawrence,LAWRENCE,Lawrence,8875,3,494,0,,
