GISJOIN,YEAR,STATE,STATEA,COUNTY,full_name,AREANAME,total_white,free_black,total_asian,total_indian
G0100010,1870,Alabama,10,Autauga,AUTAUGA,Autauga,4329,7292,0,2
G0100015,1870,Alabama,10,Baker,BAKER,Baker,5057,1137,0,0
G0100030,1870,Alabama,10,Baldwin,BALDWIN,Baldwin,3159,2845,0,0
G0100050,1870,Alabama,10,Barbour,BARBOUR,Barbour,12143,17165,0,1
G0100070,1870,Alabama,10,Bibb,BIBB,Bibb,5061,2408,0,0
G0100090,1870,Alabama,10,Blount,BLOUNT,Blount,9263,682,0,0
G0100110,1870,Alabama,10,Bullock,BULLOCK,Bullock,7223,17251,0,0
G0100130,1870,Alabama,10,Butler,BUTLER,Butler,8590,6391,0,0
G0100150,1870,Alabama,10,Calhoun,CALHOUN,Calhoun,10088,3892,0,0
G0100170,1870,Alabama,10,Chambers,CHAMBERS,Chambers,8974,8588,0,0
G0100190,1870,Alabama,10,Cherokee,CHEROKEE,Cherokee,9652,1480,0,0
G0100230,1870,Alabama,10,Choctaw,CHOCTAW,Choctaw,5802,6872,0,2
G0100250,1870,Alabama,10,Clarke,CLARKE,Clarke,7098,7565,0,0
G0100270,1870,Alabama,10,Clay,CLAY,Clay,8823,737,0,0
G0100290,1870,Alabama,10,Cleburne,CLEBURNE,Cleburne,7441,576,0,0
G0100310,1870,Alabama,10,Coffee,COFFEE,Coffee,5151,1020,0,0
G0100330,1870,Alabama,10,Colbert,COLBERT,Colbert,7898,4639,0,0
G0100350,1870,Alabama,10,Conecuh,CONECUH,Conecuh,4667,4901,0,6
G0100370,1870,Alabama,10,Coosa,COOSA,Coosa,8544,3394,0,7
G0100390,1870,Alabama,10,Covington,COVINGTON,Covington,4269,599,0,0
G0100410,1870,Alabama,10,Crenshaw,CRENSHAW,Crenshaw,8950,2206,0,0
G0100450,1870,Alabama,10,Dale,DALE,Dale,9528,1797,0,0
G0100470,1870,Alabama,10,Dallas,DALLAS,Dallas,8552,32152,0,1
G0100490,1870,Alabama,10,DeKalb,DEKALB,Dekalb,6656,470,0,0
G0100510,1870,Alabama,10,Elmore,ELMORE,Elmore,7747,6730,0,0
G0100530,1870,Alabama,10,Escambia,ESCAMBIA,Escambia,3047,951,0,43
G0100550,1870,Alabama,10,Etowah,ETOWAH,Etowah,8401,1708,0,0
G0100570,1870,Alabama,10,Fayette,FAYETTE,Fayette,6059,1077,0,0
G0100590,1870,Alabama,10,Franklin,FRANKLIN,Franklin,6693,1313,0,0
G0100610,1870,Alabama,10,Geneva,GENEVA,Geneva,2732,227,0,0
G0100630,1870,Alabama,10,Greene,GREENE,Greene,3858,14541,0,0
G0100650,1870,Alabama,10,Hale,HALE,Hale,4802,16990,0,0
G0100670,1870,Alabama,10,Henry,HENRY,Henry,9534,4657,0,0
G0100710,1870,Alabama,10,Jackson,JACKSON,Jackson,16350,3060,0,0
G0100730,1870,Alabama,10,Jefferson,JEFFERSON,Jefferson,9839,2506,0,0
G0100770,1870,Alabama,10,Lauderdale,LAUDERDALE,Lauderdale,9921,5170,0,0
G0100790,1870,Alabama,10,Lawrence,LAWRENCE,Lawrence,10096,6562,0,0
G0100810,1870,Alabama,10,Lee,LEE,Lee,10151,11597,0,2
G0100830,1870,Alabama,10,Limestone,LIMESTONE,Limestone,7764,7253,0,0
G0100850,1870,Alabama,10,Lowndes,LOWNDES,Lowndes,5086,20633,0,0
G0100870,1870,Alabama,10,Macon,MACON,Macon,5103,12620,0,4
G0100890,1870,Alabama,10,Madison,MADISON,Madison,15527,15740,0,0
G0100910,1870,Alabama,10,Marengo,MARENGO,Marengo,6090,20058,0,3
G0100930,1870,Alabama,10,Marion,MARION,Marion,5835,224,0,0
G0100950,1870,Alabama,10,Marshall,MARSHALL,Marshall,8504,1367,0,0
G0100970,1870,Alabama,10,Mobile,MOBILE,Mobile,28195,21107,0,9
G0100990,1870,Alabama,10,Monroe,MONROE,Monroe,6625,7572,0,17
G0101010,1870,Alabama,10,Montgomery,MONTGOMERY,Montgomery,12419,31285,0,0
G0101030,1870,Alabama,10,Morgan,MORGAN,Morgan,8829,3358,0,0
G0101050,1870,Alabama,10,Perry,PERRY,Perry,7142,17833,0,0
G0101070,1870,Alabama,10,Pickens,PICKENS,Pickens,8052,9638,0,0
G0101090,1870,Alabama,10,Pike,PIKE,Pike,12798,4625,0,0
G0101110,1870,Alabama,10,Randolph,RANDOLPH,Randolph,10365,1641,0,0
G0101130,1870,Alabama,10,Russell,RUSSELL,Russell,5946,15690,0,0
G0101150,1870,Alabama,10,St Clair,ST CLAIR,St Clair,7295,2065,0,0
G0101155,1870,Alabama,10,Sanford,SANFORD,Sanford,7330,1563,0,0
G0101170,1870,Alabama,10,Shelby,SHELBY,Shelby,8840,3378,0,0
G0101190,1870,Alabama,10,Sumter,SUMTER,Sumter,5202,18907,0,0
G0101210,1870,Alabama,10,Talladega,TALLADEGA,Talladega,8469,9595,0,0
G0101230,1870,Alabama,10,Tallapoosa,TALLAPOOSA,Tallapoosa,12772,4190,0,1
G0101250,1870,Alabama,10,Tuscaloosa,TUSCALOOSA,Tuscaloosa,11787,8294,0,0
G0101270,1870,Alabama,10,Walker,WALKER,Walker,6235,308,0,0
G0101290,1870,Alabama,10,Washington,WASHINGTON,Washington,2125,1787,0,0
G0101310,1870,Alabama,10,Wilcox,WILCOX,Wilcox,6767,21610,0,0
G0101330,1870,Alabama,10,Winston,WINSTON,Winston,4134,21,0,0
G0450155,1870,Arizona Territory,45,Mohave,MOHAVE,Mohave,175,4,0,0
G0450177,1870,Arizona Territory,45,Pah-Ute,PAH-UTE,Pah-Ute,,,,
G0450195,1870,Arizona Territory,45,Pima,PIMA,Pima,5698,12,0,6
G0450255,1870,Arizona Territory,45,Yavapai,YAVAPAI,Yavapai,2116,8,12,6
G0450275,1870,Arizona Territory,45,Yuma,YUMA,Yuma,1592,2,8,19
G0500010,1870,Arkansas,50,Arkansas,ARKANSAS,Arkansas,3982,4212,74,0
G0500030,1870,Arkansas,50,Ashley,ASHLEY,Ashley,4278,3764,0,0
G0500070,1870,Arkansas,50,Benton,BENTON,Benton,13640,182,0,9
G0500090,1870,Arkansas,50,Boone,BOONE,Boone,6958,74,0,0
G0500110,1870,Arkansas,50,Bradley,BRADLEY,Bradley,6117,2529,0,0
G0500130,1870,Arkansas,50,Calhoun,CALHOUN,Calhoun,2753,1100,0,0
G0500150,1870,Arkansas,50,Carroll,CARROLL,Carroll,5743,37,0,0
G0500170,1870,Arkansas,50,Chicot,CHICOT,Chicot,1816,5393,5,0
G0500190,1870,Arkansas,50,Clark,CLARK,Clark,8461,3492,0,0
G0500270,1870,Arkansas,50,Columbia,COLUMBIA,Columbia,7679,3718,0,0
G0500290,1870,Arkansas,50,Conway,CONWAY,Conway,7482,630,0,0
G0500310,1870,Arkansas,50,Craighead,CRAIGHEAD,Craighead,4324,253,0,0
G0500330,1870,Arkansas,50,Crawford,CRAWFORD,Crawford,7961,988,0,8
G0500350,1870,Arkansas,50,Crittenden,CRITTENDEN,Crittenden,1253,2575,0,3
G0500370,1870,Arkansas,50,Cross,CROSS,Cross,2626,1289,0,0
G0500390,1870,Arkansas,50,Dallas,DALLAS,Dallas,3956,1751,0,0
G0500410,1870,Arkansas,50,Desha,DESHA,Desha,2185,3934,5,1
G0500430,1870,Arkansas,50,Drew,DREW,Drew,6106,3854,0,0
G0500470,1870,Arkansas,50,Franklin,FRANKLIN,Franklin,8976,651,0,0
G0500490,1870,Arkansas,50,Fulton,FULTON,Fulton,4758,85,0,0
G0500530,1870,Arkansas,50,Grant,GRANT,Grant,3604,339,0,0
G0500550,1870,Arkansas,50,Greene,GREENE,Greene,7417,156,0,0
G0500570,1870,Arkansas,50,Hempstead,HEMPSTEAD,Hempstead,7439,6329,0,0
G0500590,1870,Arkansas,50,Hot Spring,HOT SPRING,Hot Spring,5226,650,0,1
G0500630,1870,Arkansas,50,Independence,INDEPENDENCE,Independence,13658,908,0,0
G0500650,1870,Arkansas,50,Izard,IZARD,Izard,6624,182,0,0
G0500670,1870,Arkansas,50,Jackson,JACKSON,Jackson,5656,1612,0,0
G0500690,1870,Arkansas,50,Jefferson,JEFFERSON,Jefferson,5556,10167,10,0
G0500710,1870,Arkansas,50,Johnson,JOHNSON,Johnson,8539,613,0,0
G0500730,1870,Arkansas,50,Lafayette,LAFAYETTE,Lafayette,3981,5158,0,0
G0500750,1870,Arkansas,50,Lawrence,LAWRENCE,Lawrence,5735,246,0,0
G0500810,1870,Arkansas,50,Little River,LITTLE RIVER,Little River,1358,1878,0,0
G0500870,1870,Arkansas,50,Madison,MADISON,Madison,8081,150,0,0
G0500890,1870,Arkansas,50,Marion,MARION,Marion,3960,19,0,0
G0500930,1870,Arkansas,50,Mississippi,MISSISSIPPI,Mississippi,2662,971,0,0
G0500950,1870,Arkansas,50,Monroe,MONROE,Monroe,5135,3200,0,1
G0500970,1870,Arkansas,50,Montgomery,MONTGOMERY,Montgomery,2864,120,0,0
G0501010,1870,Arkansas,50,Newton,NEWTON,Newton,4365,9,0,0
G0501030,1870,Arkansas,50,Ouachita,OUACHITA,Ouachita,7511,5458,0,6
G0501050,1870,Arkansas,50,Perry,PERRY,Perry,2395,290,0,0
G0501070,1870,Arkansas,50,Phillips,PHILLIPS,Phillips,4871,10501,0,0
G0501090,1870,Arkansas,50,Pike,PIKE,Pike,3367,421,0,0
G0501110,1870,Arkansas,50,Poinsett,POINSETT,Poinsett,1494,225,0,1
