GISJOIN,YEAR,STATE,STATEA,COUNTY,full_name,AREANAME,total_population
G0100010,1860,Alabama,10,Autauga,AUTAUGA,Autauga,16739
G0100030,1860,Alabama,10,Baldwin,BALDWIN,Baldwin,7530
G0100050,1860,Alabama,10,Barbour,BARBOUR,Barbour,30812
G0100070,1860,Alabama,10,Bibb,BIBB,Bibb,11894
G0100090,1860,Alabama,10,Blount,BLOUNT,Blount,10865
G0100130,1860,Alabama,10,Butler,BUTLER,Butler,18122
G0100150,1860,Alabama,10,Calhoun,CALHOUN,Calhoun,21539
G0100170,1860,Alabama,10,Chambers,CHAMBERS,Chambers,23214
G0100190,1860,Alabama,10,Cherokee,CHEROKEE,Cherokee,18360
G0100230,1860,Alabama,10,Choctaw,CHOCTAW,Choctaw,13877
G0100250,1860,Alabama,10,Clarke,CLARKE,Clarke,15049
G0100310,1860,Alabama,10,Coffee,COFFEE,Coffee,9623
G0100350,1860,Alabama,10,Conecuh,CONECUH,Conecuh,11311
G0100370,1860,Alabama,10,Coosa,COOSA,Coosa,19273
G0100390,1860,Alabama,10,Covington,COVINGTON,Covington,6469
G0100450,1860,Alabama,10,Dale,DALE,Dale,12197
G0100470,1860,Alabama,10,Dallas,DALLAS,Dallas,33625
G0100490,1860,Alabama,10,DeKalb,DEKALB,Dekalb,10705
G0100570,1860,Alabama,10,Fayette,FAYETTE,Fayette,12850
G0100590,1860,Alabama,10,Franklin,FRANKLIN,Franklin,18627
G0100630,1860,Alabama,10,Greene,GREENE,Greene,30859
G0100670,1860,Alabama,10,Henry,HENRY,Henry,14918
G0100710,1860,Alabama,10,Jackson,JACKSON,Jackson,18283
G0100730,1860,Alabama,10,Jefferson,JEFFERSON,Jefferson,11746
G0100770,1860,Alabama,10,Lauderdale,LAUDERDALE,Lauderdale,17420
G0100790,1860,Alabama,10,Lawrence,LAWRENCE,Lawrence,13975
G0100830,1860,Alabama,10,Limestone,LIMESTONE,Limestone,15306
G0100850,1860,Alabama,10,Lowndes,LOWNDES,Lowndes,27716
G0100870,1860,Alabama,10,Macon,MACON,Macon,26802
G0100890,1860,Alabama,10,Madison,MADISON,Madison,26451
G0100910,1860,Alabama,10,Marengo,MARENGO,Marengo,31171
G0100930,1860,Alabama,10,Marion,MARION,Marion,11182
G0100950,1860,Alabama,10,Marshall,MARSHALL,Marshall,11472
G0100970,1860,Alabama,10,Mobile,MOBILE,Mobile,41131
G0100990,1860,Alabama,10,Monroe,MONROE,Monroe,15667
G0101010,1860,Alabama,10,Montgomery,MONTGOMERY,Montgomery,35904
G0101030,1860,Alabama,10,Morgan,MORGAN,Morgan,11335
G0101050,1860,Alabama,10,Perry,PERRY,Perry,27724
G0101070,1860,Alabama,10,Pickens,PICKENS,Pickens,22316
G0101090,1860,Alabama,10,Pike,PIKE,Pike,24435
G0101110,1860,Alabama,10,Randolph,RANDOLPH,Randolph,20059
G0101130,1860,Alabama,10,Russell,RUSSELL,Russell,26592
G0101150,1860,Alabama,10,St Clair,ST CLAIR,St Clair,11013
G0101170,1860,Alabama,10,Shelby,SHELBY,Shelby,12618
G0101190,1860,Alabama,10,Sumter,SUMTER,Sumter,24035
G0101210,1860,Alabama,10,Talladega,TALLADEGA,Talladega,23520
G0101230,1860,Alabama,10,Tallapoosa,TALLAPOOSA,Tallapoosa,23827
G0101250,1860,Alabama,10,Tuscaloosa,TUSCALOOSA,Tuscaloosa,23200
G0101270,1860,Alabama,10,Walker,WALKER,Walker,7980
G0101290,1860,Alabama,10,Washington,WASHINGTON,Washington,4669
G0101310,1860,Alabama,10,Wilcox,WILCOX,Wilcox,24618
G0101330,1860,Alabama,10,Winston,WINSTON,Winston,3576
G0500010,1860,Arkansas,50,Arkansas,ARKANSAS,Arkansas,8844
G0500030,1860,Arkansas,50,Ashley,ASHLEY,Ashley,8590
G0500070,1860,Arkansas,50,Benton,BENTON,Benton,9306
G0500110,1860,Arkansas,50,Bradley,BRADLEY,Bradley,8388
G0500130,1860,Arkansas,50,Calhoun,CALHOUN,Calhoun,4103
G0500150,1860,Arkansas,50,Carroll,CARROLL,Carroll,9383
G0500170,1860,Arkansas,50,Chicot,CHICOT,Chicot,9234
G0500190,1860,Arkansas,50,Clark,CLARK,Clark,9735
G0500270,1860,Arkansas,50,Columbia,COLUMBIA,Columbia,12449
G0500290,1860,Arkansas,50,Conway,CONWAY,Conway,6697
G0500310,1860,Arkansas,50,Craighead,CRAIGHEAD,Craighead,3066
